run_id,evaluator_id,packet_id,replicate_id,arrangement_id,position,nickname,condition_id,source_output_path,word_count,scientific_fidelity,article_structure,reader_orientation,cohesion_coherence,evidence_uncertainty,style_readability,constraint_following,total_score,rank,one_sentence_justification
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,2,Ivory,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R3.md,1790,20,15,15,19,15,9,5,98,1,"Most complete and best calibrated article, preserving isoform specificity, mechanism, lineage context, and uncertainty without unsupported disease or repair claims."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,1,Quartz,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R3.md,1717,20,14,15,19,14,9,5,96,2,"Highly faithful and well structured, with excellent coverage of mechanism and limits, though the formal Methods reconstruction is slightly less natural."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,3,Summit,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R3.md,1536,19,13,14,19,15,9,5,94,3,"Concise and accurate synthesis with strong uncertainty handling, but somewhat less complete in article scaffolding and methodological orientation."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,5,Meadow,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R3.md,1610,19,14,14,18,14,9,5,93,4,"Accurate and readable account of the main biology, with only minor compression and slightly broader framing reducing precision."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,4,Lantern,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R3.md,1657,19,11,14,18,14,9,4,89,5,Scientifically rich and fluent but less compliant with scientific article structure and somewhat more interpretive in framing.
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,5,Amber,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,1605,20,14,15,19,15,10,5,98,1,"Concise, complete, and carefully bounded account that preserves the key isoform-specific CASP5C mechanism and uncertainty."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,2,Fjord,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,1571,20,15,15,19,15,9,4,97,2,"Excellent structured article with strong fidelity and uncertainty handling, only slightly less economical than the best entry."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,1,Ridge,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,1562,20,14,15,20,15,9,3,96,3,"Highly complete and coherent mechanistic narrative, but it is overlong relative to the requested target."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,3,Tundra,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,1790,20,14,14,19,15,9,3,94,4,"Accurate and cautious, though denser and somewhat less elegant because of its procedural structure and length."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,4,Juniper,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,1797,19,14,14,19,14,9,4,93,5,"Clear and mostly faithful, but includes minor broader framing beyond the dossier and is slightly less precise in evidence calibration."
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,1,Amber,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,1605,20,15,15,20,15,10,5,100,1,"Best overall balance of complete dossier coverage, clear structure, accurate isoform-specific mechanism and careful uncertainty handling."
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,2,Ridge,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,1562,20,13,15,20,15,10,5,98,2,"Highly faithful and coherent narrative with excellent caution, though it has fewer structural signposts than the top article."
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,3,Fjord,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,1571,20,15,14,19,15,9,5,97,3,"Accurate and well organized with strong caveats, but slightly more compressed and less synthetically rich than the top two."
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,4,Tundra,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,1790,18,15,14,19,14,9,5,94,4,"Comprehensive and clear, with good caveats, but includes minor unsupported background framing and a somewhat method-heavy presentation."
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,5,Juniper,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,1797,17,15,14,18,13,10,5,92,5,"Polished and mostly accurate, but loses fidelity and uncertainty credit for several broader claims not directly supported by the dossier."
run-2026-05-01-D003,E1,packet_3560c789fc,R2,A5,1,Ember,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,1798,20,15,15,20,15,9,4,98,1,Most complete and best balanced article with precise isoform specificity mechanism and uncertainty caveats.
run-2026-05-01-D003,E1,packet_3560c789fc,R2,A5,2,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,1822,20,14,15,19,15,9,4,96,2,Highly faithful and clear with strong synthesis and only minor losses in completeness and article polish.
run-2026-05-01-D003,E1,packet_3560c789fc,R2,A5,3,Vale,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R2.md,1576,19,12,15,20,15,9,4,94,3,Very accurate and cohesive mechanistic narrative but less conventionally structured as a scientific article.
run-2026-05-01-D003,E1,packet_3560c789fc,R2,A5,4,Dawn,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,1792,18,14,14,18,14,9,4,91,4,Strong structured account with good caveats but slightly more generic framing and less nuance in places.
run-2026-05-01-D003,E1,packet_3560c789fc,R2,A5,5,Granite,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,1811,18,13,13,18,14,9,5,90,5,Faithful and comprehensive but somewhat inventory-like and less effective at guiding the reader through the evidence.
run-2026-05-01-D003,E1,packet_35bb698369,R2,A1,2,Vale,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R2.md,1576,20,14,15,20,15,9,5,98,1,"Most precise and integrated account, with excellent handling of isoform specificity, mechanism, and uncertainty."
run-2026-05-01-D003,E1,packet_35bb698369,R2,A1,1,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,1822,20,15,15,19,15,8,5,97,2,"Extremely complete and faithful, though slightly more segmented and less elegant than Vale."
run-2026-05-01-D003,E1,packet_35bb698369,R2,A1,3,Dawn,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,1792,19,15,14,19,14,9,5,95,3,"Strongly organized and accurate, with only minor tendency toward broader repair framing than the dossier proves."
run-2026-05-01-D003,E1,packet_35bb698369,R2,A1,4,Granite,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,1811,19,14,14,18,14,9,5,93,4,"Faithful and cautious overall, but somewhat more compressed and inventory-like in structure and synthesis."
run-2026-05-01-D003,E1,packet_35bb698369,R2,A1,5,Ember,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,1798,18,13,13,17,14,8,5,88,5,"Clear and mostly faithful, but less polished and slightly less precise in evolutionary and regenerative phrasing."
run-2026-05-01-D003,E1,packet_3831946363,R2,A4,2,Ember,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,1798,19,14,14,19,14,9,4,93,1,"Best balance of faithful content, clear result structure, careful uncertainty and readable article-style compression."
run-2026-05-01-D003,E1,packet_3831946363,R2,A4,3,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,1822,19,13,14,18,14,9,4,91,2,"Highly accurate and cautious with a strong mechanistic arc, but slightly less complete and less conventionally structured than Ember."
run-2026-05-01-D003,E1,packet_3831946363,R2,A4,5,Dawn,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,1792,18,13,13,18,14,9,4,89,3,"Accurate and polished with good caveats, though somewhat more interpretive and less ideally oriented than the top two."
run-2026-05-01-D003,E1,packet_3831946363,R2,A4,1,Granite,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,1811,19,12,13,18,14,8,3,87,4,"Very comprehensive and faithful, but overlong and dense enough to weaken structure, readability and target-length compliance."
