evaluator_id,packet_id,replicate_id,arrangement_id,position,nickname,condition_id,source_output_path,word_count
E1,packet_9d5f76d5f3,R1,A1,1,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780
E1,packet_9d5f76d5f3,R1,A1,2,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808
E1,packet_9d5f76d5f3,R1,A1,3,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798
E1,packet_9d5f76d5f3,R1,A1,4,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811
E1,packet_9d5f76d5f3,R1,A1,5,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808
E1,packet_7f8c76a2df,R1,A2,1,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808
E1,packet_7f8c76a2df,R1,A2,2,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798
E1,packet_7f8c76a2df,R1,A2,3,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811
E1,packet_7f8c76a2df,R1,A2,4,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808
E1,packet_7f8c76a2df,R1,A2,5,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780
E1,packet_673addee4f,R1,A3,1,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798
E1,packet_673addee4f,R1,A3,2,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811
E1,packet_673addee4f,R1,A3,3,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808
E1,packet_673addee4f,R1,A3,4,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780
E1,packet_673addee4f,R1,A3,5,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808
E1,packet_6da0b5da8f,R1,A4,1,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811
E1,packet_6da0b5da8f,R1,A4,2,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808
E1,packet_6da0b5da8f,R1,A4,3,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780
E1,packet_6da0b5da8f,R1,A4,4,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808
E1,packet_6da0b5da8f,R1,A4,5,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798
E1,packet_d1ee18c91a,R1,A5,1,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808
E1,packet_d1ee18c91a,R1,A5,2,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780
E1,packet_d1ee18c91a,R1,A5,3,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808
E1,packet_d1ee18c91a,R1,A5,4,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798
E1,packet_d1ee18c91a,R1,A5,5,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811
E1,packet_17ba1bd0a7,R2,A1,1,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791
E1,packet_17ba1bd0a7,R2,A1,2,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802
