run_id,evaluator_id,article_id,condition_id,condition_name,replicate_id,word_count,scientific_fidelity,article_structure,reader_orientation,cohesion_coherence,evidence_uncertainty,style_readability,constraint_following,total_score,rank,one_sentence_justification
run-2026-05-01-D001,E1,Article_J,C2,No-skill baseline,R3,1813,20,15,15,19,15,10,4,98,1,"Most complete and balanced account, with strong reader orientation, complete mechanism, and appropriately cautious disease framing."
run-2026-05-01-D001,E1,Article_E,C3,Scientific-writing representative,R3,1711,20,15,15,19,14,10,4,97,2,"Excellent structure and fidelity with a coherent mechanistic arc, though disease-associated findings are less fully integrated than in the strongest article."
run-2026-05-01-D001,E1,Article_C,C1,Reader-aware writing,R3,1794,20,15,15,18,14,10,4,96,3,"Highly faithful and clear, with strong methods-to-results progression and good caveats, but slightly less polished synthesis than the top two."
run-2026-05-01-D001,E1,Article_L,C1,Reader-aware writing,R1,1802,20,15,15,18,13,10,4,95,4,"Very readable and well oriented, with complete core mechanism, though some inferential boundaries are handled a little less sharply."
run-2026-05-01-D001,E1,Article_G,C4,Scientific-writing alternative,R2,1813,20,15,14,18,13,10,4,94,5,"Strong and concise mechanistic article that preserves key caveats, with slightly less reader scaffolding than higher-ranked versions."
run-2026-05-01-D001,E1,Article_H,C1,Reader-aware writing,R2,1804,20,15,14,17,13,10,4,93,6,"Faithful and well structured, but somewhat more compressed in methods and transitions than the leading articles."
run-2026-05-01-D001,E1,Article_F,C2,No-skill baseline,R2,1791,20,14,15,17,13,9,4,92,7,"Accurate and reader-aware, with good definitions and caveats, but the article is less cohesive and less publication-polished in places."
run-2026-05-01-D001,E1,Article_N,C4,Scientific-writing alternative,R1,1782,20,14,14,17,13,9,4,91,8,"Accurate and cautious, but somewhat flatter in structure and less complete on disease and localization detail than stronger entries."
run-2026-05-01-D001,E1,Article_O,C2,No-skill baseline,R1,1810,20,14,14,17,12,9,4,90,9,"Covers the main mechanism faithfully, but compresses several evidence strands and leaves uncertainty handling less developed."
run-2026-05-01-D001,E1,Article_D,C5,Academic writing standards,R3,1810,20,14,14,16,12,9,4,89,10,"Scientifically faithful and clear, but the Wnt-first framing and compressed evidence progression weaken the research-story structure."
run-2026-05-01-D001,E1,Article_M,C3,Scientific-writing representative,R2,1811,20,14,14,16,11,9,4,88,11,"Accurate and readable, but comparatively generic in evidence separation and caveat handling."
run-2026-05-01-D001,E1,Article_K,C4,Scientific-writing alternative,R3,1706,20,14,13,16,11,9,4,87,12,"Faithful and organized, but more summary-like, with less reader orientation and less complete treatment of uncertainty."
run-2026-05-01-D001,E1,Article_B,C3,Scientific-writing representative,R1,1800,20,14,13,15,11,9,4,86,13,"Preserves the dossier well, but compresses results and tissue-disease evidence enough to reduce coherence and evidence discipline."
run-2026-05-01-D001,E1,Article_I,C5,Academic writing standards,R1,1779,19,14,13,15,10,9,4,84,14,"Generally accurate, but more abbreviated and less disciplined about evidence boundaries, with several key details treated too lightly."
run-2026-05-01-D001,E1,Article_A,C5,Academic writing standards,R2,1734,19,13,13,15,10,9,4,83,15,"Faithful in broad outline but comparatively sparse, with weaker structure, fewer key definitions, and less complete uncertainty treatment."
run-2026-05-01-D001,E2,Article_D,C5,Academic writing standards,R3,1810,20,15,15,19,15,9,3,96,3,"Very complete and cautious with strong source discipline, though longer and denser than the target concise article."
run-2026-05-01-D001,E2,Article_H,C1,Reader-aware writing,R2,1804,20,15,15,20,14,10,4,98,1,"Best balance of full dossier fidelity, clear mechanistic progression, reader scaffolding, and appropriately cautious disease interpretation."
run-2026-05-01-D001,E2,Article_M,C3,Scientific-writing representative,R2,1811,20,15,15,19,14,9,3,95,4,"Comprehensive and faithful with strong result sequencing, but somewhat dense and likely over the word target."
run-2026-05-01-D001,E2,Article_O,C2,No-skill baseline,R1,1810,20,15,15,19,14,10,4,97,2,"Excellent coverage and orientation with especially clear pathway explanation, losing only a little precision and completeness versus the strongest article."
run-2026-05-01-D001,E2,Article_I,C5,Academic writing standards,R1,1779,19,14,14,18,14,9,3,91,8,"Clear and cautious with good mechanism, but it omits or compresses several supporting details from the dossier."
run-2026-05-01-D001,E2,Article_C,C1,Reader-aware writing,R3,1794,20,15,14,19,14,9,3,94,5,"Faithful and well structured with good mechanistic flow, but slightly less reader scaffolding and constraint discipline than the top entries."
run-2026-05-01-D001,E2,Article_F,C2,No-skill baseline,R2,1791,20,15,14,18,14,9,3,93,6,"Accurate and complete with clear sections, though the prose is more compressed and less cohesive than stronger versions."
run-2026-05-01-D001,E2,Article_N,C4,Scientific-writing alternative,R1,1782,20,14,14,17,13,9,3,90,9,"Accurate and readable with a good model, but structure and uncertainty handling are a bit less developed."
run-2026-05-01-D001,E2,Article_E,C3,Scientific-writing representative,R3,1711,20,15,14,18,14,8,3,92,7,"Scientifically faithful and well organized, but readability is reduced by dense result packing and limited synthesis in places."
run-2026-05-01-D001,E2,Article_B,C3,Scientific-writing representative,R1,1800,20,14,14,17,13,8,3,89,10,"Strong fidelity and useful orientation, but the article is more compressed and less polished in cohesion than higher-ranked entries."
run-2026-05-01-D001,E2,Article_A,C5,Academic writing standards,R2,1734,18,13,13,16,11,8,3,82,15,"Readable and broadly accurate, but it compresses important evidence, caveats, and disease context too much for the assigned article goal."
run-2026-05-01-D001,E2,Article_L,C1,Reader-aware writing,R1,1802,19,14,14,17,13,8,3,88,11,"Mostly faithful and coherent, but includes a few looser phrasings and less complete disease and limitation handling."
run-2026-05-01-D001,E2,Article_G,C4,Scientific-writing alternative,R2,1813,19,14,13,17,12,9,3,87,12,"Generally accurate, but the abstract and discussion underdevelop reader framing and disease uncertainty relative to stronger articles."
run-2026-05-01-D001,E2,Article_K,C4,Scientific-writing alternative,R3,1706,19,14,13,17,12,8,3,86,13,Covers the main mechanism but is less precise in uncertainty framing and occasionally overstates substrate language.
run-2026-05-01-D001,E2,Article_J,C2,No-skill baseline,R3,1813,19,14,13,16,12,8,3,85,14,Faithful on the core mechanism but less cohesive and less complete on expression and disease context than most alternatives.
run-2026-05-01-D001,E3,Article_K,C4,Scientific-writing alternative,R3,1706,20,15,15,19,15,9,4,97,2,"Comprehensive and highly faithful account with excellent uncertainty handling, slightly denser and longer than ideal."
run-2026-05-01-D001,E3,Article_M,C3,Scientific-writing representative,R2,1811,20,15,15,20,14,10,4,98,1,"Most complete and well-oriented synthesis with precise mechanism, strong caveats, and only minor constraint pressure from length."
run-2026-05-01-D001,E3,Article_F,C2,No-skill baseline,R2,1791,20,15,15,19,14,9,4,96,3,"Very strong, coherent article that covers the central mechanism and caveats with only minor compression and style limits."
run-2026-05-01-D001,E3,Article_N,C4,Scientific-writing alternative,R1,1782,20,15,15,18,14,9,4,95,4,"Excellent mechanistic synthesis and reader orientation, with a few details compressed relative to the strongest versions."
run-2026-05-01-D001,E3,Article_L,C1,Reader-aware writing,R1,1802,20,15,14,18,14,9,4,94,5,"Faithful and complete with clear structure, though slightly less explanatory for non-specialists in some results passages."
run-2026-05-01-D001,E3,Article_G,C4,Scientific-writing alternative,R2,1813,19,15,14,18,14,9,4,93,6,"Strong overall article with good caveats and flow, losing a little fidelity for minor omissions and less exact disease quantification."
run-2026-05-01-D001,E3,Article_B,C3,Scientific-writing representative,R1,1800,19,14,14,18,14,9,4,92,7,"Well-structured and accurate, but somewhat more compressed and less complete in dataset and disease-association coverage."
run-2026-05-01-D001,E3,Article_I,C5,Academic writing standards,R1,1779,18,13,14,16,12,8,4,85,14,"Clear concise version with good definitions, but it is comparatively underdeveloped and leaves out several dossier-supported specifics."
run-2026-05-01-D001,E3,Article_O,C2,No-skill baseline,R1,1810,19,14,14,18,13,9,4,91,8,"Clear and faithful account with good orientation, but some methods and disease-caveat coverage are less complete than higher-ranked articles."
run-2026-05-01-D001,E3,Article_H,C1,Reader-aware writing,R2,1804,19,14,14,17,13,9,4,90,9,"Accurate and readable, though it compresses several quantitative and design details and is less cohesive in later result integration."
run-2026-05-01-D001,E3,Article_E,C3,Scientific-writing representative,R3,1711,19,14,14,17,13,8,4,89,10,"Solid article with correct central claims and caveats, but the prose is more generic and some evidence links are abbreviated."
run-2026-05-01-D001,E3,Article_J,C2,No-skill baseline,R3,1813,19,14,13,17,13,8,4,88,11,"Faithful and mechanistically clear, with slightly weaker reader scaffolding and less complete disease framing than stronger versions."
run-2026-05-01-D001,E3,Article_C,C1,Reader-aware writing,R3,1794,18,14,14,16,13,8,4,87,12,"Generally accurate and well oriented, but it omits or compresses several required details and occasionally over-condenses transitions."
run-2026-05-01-D001,E3,Article_D,C5,Academic writing standards,R3,1810,18,14,13,16,13,8,4,86,13,"Scientifically sound and readable, but less complete in methods, disease details, and reader-facing explanation of some assay logic."
run-2026-05-01-D001,E3,Article_A,C5,Academic writing standards,R2,1734,17,13,13,16,12,8,4,83,15,"Accurate in broad outline but most compressed, with notable omissions in localization, stimulation, disease, and mechanistic support details."
