evaluator_id	article_a	article_b	preferred_article	reason
E2	Article_D	Article_H	Article_H	Article_H is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_D.
E2	Article_D	Article_M	Article_D	Article_D is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_M.
E2	Article_D	Article_O	Article_O	Article_O is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_D.
E2	Article_D	Article_I	Article_D	Article_D is preferred because it preserves dossier-supported claims and caveats more reliably than Article_I.
E2	Article_D	Article_C	Article_D	Article_D is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_C.
E2	Article_D	Article_F	Article_D	Article_D is preferred because its mechanistic progression and paragraph coherence are stronger than Article_F.
E2	Article_D	Article_N	Article_D	Article_D is preferred because its mechanistic progression and paragraph coherence are stronger than Article_N.
E2	Article_D	Article_E	Article_D	Article_D is preferred because its mechanistic progression and paragraph coherence are stronger than Article_E.
E2	Article_D	Article_B	Article_D	Article_D is preferred because its mechanistic progression and paragraph coherence are stronger than Article_B.
E2	Article_D	Article_A	Article_D	Article_D is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_D	Article_L	Article_D	Article_D is preferred because it preserves dossier-supported claims and caveats more reliably than Article_L.
E2	Article_D	Article_G	Article_D	Article_D is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
E2	Article_D	Article_K	Article_D	Article_D is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_D	Article_J	Article_D	Article_D is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_H	Article_M	Article_H	Article_H is preferred because its mechanistic progression and paragraph coherence are stronger than Article_M.
E2	Article_H	Article_O	Article_H	Article_H is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_O.
E2	Article_H	Article_I	Article_H	Article_H is preferred because it preserves dossier-supported claims and caveats more reliably than Article_I.
E2	Article_H	Article_C	Article_H	Article_H is preferred because its mechanistic progression and paragraph coherence are stronger than Article_C.
E2	Article_H	Article_F	Article_H	Article_H is preferred because its mechanistic progression and paragraph coherence are stronger than Article_F.
E2	Article_H	Article_N	Article_H	Article_H is preferred because its mechanistic progression and paragraph coherence are stronger than Article_N.
E2	Article_H	Article_E	Article_H	Article_H is preferred because its mechanistic progression and paragraph coherence are stronger than Article_E.
E2	Article_H	Article_B	Article_H	Article_H is preferred because its mechanistic progression and paragraph coherence are stronger than Article_B.
E2	Article_H	Article_A	Article_H	Article_H is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_H	Article_L	Article_H	Article_H is preferred because it preserves dossier-supported claims and caveats more reliably than Article_L.
E2	Article_H	Article_G	Article_H	Article_H is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
E2	Article_H	Article_K	Article_H	Article_H is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_H	Article_J	Article_H	Article_H is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_M	Article_O	Article_O	Article_O is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_M.
E2	Article_M	Article_I	Article_M	Article_M is preferred because it preserves dossier-supported claims and caveats more reliably than Article_I.
E2	Article_M	Article_C	Article_M	Article_M is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_C.
E2	Article_M	Article_F	Article_M	Article_M is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_F.
E2	Article_M	Article_N	Article_M	Article_M is preferred because its mechanistic progression and paragraph coherence are stronger than Article_N.
E2	Article_M	Article_E	Article_M	Article_M is preferred because its mechanistic progression and paragraph coherence are stronger than Article_E.
E2	Article_M	Article_B	Article_M	Article_M is preferred because its mechanistic progression and paragraph coherence are stronger than Article_B.
E2	Article_M	Article_A	Article_M	Article_M is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_M	Article_L	Article_M	Article_M is preferred because it preserves dossier-supported claims and caveats more reliably than Article_L.
E2	Article_M	Article_G	Article_M	Article_M is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
E2	Article_M	Article_K	Article_M	Article_M is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_M	Article_J	Article_M	Article_M is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_O	Article_I	Article_O	Article_O is preferred because it preserves dossier-supported claims and caveats more reliably than Article_I.
E2	Article_O	Article_C	Article_O	Article_O is preferred because it has the stronger overall combination of completeness, reader orientation, cohesion, and uncertainty discipline.
E2	Article_O	Article_F	Article_O	Article_O is preferred because its mechanistic progression and paragraph coherence are stronger than Article_F.
E2	Article_O	Article_N	Article_O	Article_O is preferred because its mechanistic progression and paragraph coherence are stronger than Article_N.
E2	Article_O	Article_E	Article_O	Article_O is preferred because its mechanistic progression and paragraph coherence are stronger than Article_E.
E2	Article_O	Article_B	Article_O	Article_O is preferred because its mechanistic progression and paragraph coherence are stronger than Article_B.
E2	Article_O	Article_A	Article_O	Article_O is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_O	Article_L	Article_O	Article_O is preferred because it preserves dossier-supported claims and caveats more reliably than Article_L.
E2	Article_O	Article_G	Article_O	Article_O is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
E2	Article_O	Article_K	Article_O	Article_O is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_O	Article_J	Article_O	Article_O is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_I	Article_C	Article_C	Article_C is preferred because it preserves dossier-supported claims and caveats more reliably than Article_I.
E2	Article_I	Article_F	Article_F	Article_F is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_I.
E2	Article_I	Article_N	Article_I	Article_I is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_N.
E2	Article_I	Article_E	Article_E	Article_E is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_I.
E2	Article_I	Article_B	Article_I	Article_I is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_B.
E2	Article_I	Article_A	Article_I	Article_I is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_I	Article_L	Article_I	Article_I is preferred because its mechanistic progression and paragraph coherence are stronger than Article_L.
E2	Article_I	Article_G	Article_I	Article_I is preferred because its mechanistic progression and paragraph coherence are stronger than Article_G.
E2	Article_I	Article_K	Article_I	Article_I is preferred because its mechanistic progression and paragraph coherence are stronger than Article_K.
E2	Article_I	Article_J	Article_I	Article_I is preferred because its mechanistic progression and paragraph coherence are stronger than Article_J.
E2	Article_C	Article_F	Article_C	Article_C is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_F.
E2	Article_C	Article_N	Article_C	Article_C is preferred because its mechanistic progression and paragraph coherence are stronger than Article_N.
E2	Article_C	Article_E	Article_C	Article_C is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_E.
E2	Article_C	Article_B	Article_C	Article_C is preferred because its mechanistic progression and paragraph coherence are stronger than Article_B.
E2	Article_C	Article_A	Article_C	Article_C is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_C	Article_L	Article_C	Article_C is preferred because it preserves dossier-supported claims and caveats more reliably than Article_L.
E2	Article_C	Article_G	Article_C	Article_C is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
E2	Article_C	Article_K	Article_C	Article_C is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_C	Article_J	Article_C	Article_C is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_F	Article_N	Article_F	Article_F is preferred because its mechanistic progression and paragraph coherence are stronger than Article_N.
E2	Article_F	Article_E	Article_F	Article_F is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_E.
E2	Article_F	Article_B	Article_F	Article_F is preferred because its mechanistic progression and paragraph coherence are stronger than Article_B.
E2	Article_F	Article_A	Article_F	Article_F is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_F	Article_L	Article_F	Article_F is preferred because it preserves dossier-supported claims and caveats more reliably than Article_L.
E2	Article_F	Article_G	Article_F	Article_F is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
E2	Article_F	Article_K	Article_F	Article_F is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_F	Article_J	Article_F	Article_F is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_N	Article_E	Article_E	Article_E is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_N.
E2	Article_N	Article_B	Article_N	Article_N is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_B.
E2	Article_N	Article_A	Article_N	Article_N is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_N	Article_L	Article_N	Article_N is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_L.
E2	Article_N	Article_G	Article_N	Article_N is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
E2	Article_N	Article_K	Article_N	Article_N is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_N	Article_J	Article_N	Article_N is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_E	Article_B	Article_E	Article_E is preferred because its mechanistic progression and paragraph coherence are stronger than Article_B.
E2	Article_E	Article_A	Article_E	Article_E is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_E	Article_L	Article_E	Article_E is preferred because it preserves dossier-supported claims and caveats more reliably than Article_L.
E2	Article_E	Article_G	Article_E	Article_E is preferred because it preserves dossier-supported claims and caveats more reliably than Article_G.
