evaluator_id,replicate_id,condition_id,position,count
E1,R1,C1,1,1
E1,R1,C1,2,1
E1,R1,C1,3,1
E1,R1,C1,4,1
E1,R1,C1,5,1
E1,R1,C2,1,1
E1,R1,C2,2,1
E1,R1,C2,3,1
E1,R1,C2,4,1
E1,R1,C2,5,1
E1,R1,C3,1,1
E1,R1,C3,2,1
E1,R1,C3,3,1
E1,R1,C3,4,1
E1,R1,C3,5,1
E1,R1,C4,1,1
E1,R1,C4,2,1
E1,R1,C4,3,1
E1,R1,C4,4,1
E1,R1,C4,5,1
E1,R1,C5,1,1
E1,R1,C5,2,1
E1,R1,C5,3,1
E1,R1,C5,4,1
E1,R1,C5,5,1
E1,R2,C1,1,1
E1,R2,C1,2,1
E1,R2,C1,3,1
E1,R2,C1,4,1
E1,R2,C1,5,1
E1,R2,C2,1,1
E1,R2,C2,2,1
E1,R2,C2,3,1
E1,R2,C2,4,1
E1,R2,C2,5,1
E1,R2,C3,1,1
E1,R2,C3,2,1
E1,R2,C3,3,1
E1,R2,C3,4,1
E1,R2,C3,5,1
E1,R2,C4,1,1
E1,R2,C4,2,1
E1,R2,C4,3,1
E1,R2,C4,4,1
E1,R2,C4,5,1
E1,R2,C5,1,1
E1,R2,C5,2,1
E1,R2,C5,3,1
E1,R2,C5,4,1
E1,R2,C5,5,1
E1,R3,C1,1,1
E1,R3,C1,2,1
E1,R3,C1,3,1
E1,R3,C1,4,1
E1,R3,C1,5,1
E1,R3,C2,1,1
E1,R3,C2,2,1
E1,R3,C2,3,1
E1,R3,C2,4,1
E1,R3,C2,5,1
E1,R3,C3,1,1
E1,R3,C3,2,1
E1,R3,C3,3,1
E1,R3,C3,4,1
E1,R3,C3,5,1
E1,R3,C4,1,1
E1,R3,C4,2,1
E1,R3,C4,3,1
E1,R3,C4,4,1
E1,R3,C4,5,1
E1,R3,C5,1,1
E1,R3,C5,2,1
E1,R3,C5,3,1
E1,R3,C5,4,1
E1,R3,C5,5,1
