run_id,evaluator_id,packet_id,replicate_id,arrangement_id,nickname_a,condition_a,position_a,nickname_b,condition_b,position_b,preferred_nickname,preferred_condition,reason
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Quartz,C4,1,Ivory,C5,2,Quartz,C4,"Quartz has slightly stronger article structure and fuller integration of methods, results and limitations."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Quartz,C4,1,Summit,C1,3,Quartz,C4,"Quartz is more complete and better scaffolded, especially around methods and uncertainty boundaries."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Quartz,C4,1,Lantern,C2,4,Quartz,C4,Quartz preserves more dossier detail and gives stronger reader orientation while maintaining careful caveats.
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Quartz,C4,1,Meadow,C3,5,Quartz,C4,"Quartz is marginally more polished and complete, with clearer article-level organization."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Ivory,C5,2,Summit,C1,3,Ivory,C5,Ivory offers fuller methodological and quantitative coverage while matching Summit's caution about evidence limits.
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Ivory,C5,2,Lantern,C2,4,Ivory,C5,"Ivory is more complete and better organized, with stronger handling of isoform competition and disease caveats."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Ivory,C5,2,Meadow,C3,5,Ivory,C5,"Ivory is a little clearer and more reader-oriented, though both are highly faithful."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Summit,C1,3,Lantern,C2,4,Summit,C1,Summit gives a more cohesive and comprehensive account of the experimental sequence.
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Summit,C1,3,Meadow,C3,5,Meadow,C3,Meadow has stronger article scaffolding through its Methods section and slightly fuller experimental orientation.
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,Lantern,C2,4,Meadow,C3,5,Meadow,C3,Meadow is more complete and better structured while retaining the same key scientific caveats.
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,Zephyr,C1,1,Vale,C2,2,Vale,C2,Vale preserves nearly all essential science with better organization and much stronger length discipline than Zephyr.
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,Zephyr,C1,1,Dawn,C3,3,Dawn,C3,Dawn is slightly less exhaustive but delivers a more usable article-form synthesis than Zephyr's overlong reconstruction.
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,Zephyr,C1,1,Granite,C4,4,Granite,C4,Granite is nearly as faithful while being more concise and better aligned with the requested article target.
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,Zephyr,C1,1,Ember,C5,5,Ember,C5,Ember covers the key evidence and uncertainty with far better economy and constraint following.
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,Vale,C2,2,Dawn,C3,3,Vale,C2,"Vale has marginally sharper structure and uncertainty framing, while Dawn has a slight abstract overstatement and similar length issues."
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,Vale,C2,2,Granite,C4,4,Granite,C4,Granite is more concise and article-like with only a small loss of detail relative to Vale.
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,Vale,C2,2,Ember,C5,5,Ember,C5,Ember is similarly faithful but more economical and closer to the requested target length.
